1	.47	.121	.042	-.019	.116	-.067	.704
2	.524	.06	.134	-.037	.078	.146	.325
3	.56	.056	-.061	-.092	.176	-.127	.679
4	.609	.128	.124	-.022	.058	.016	.317
5	.422	.117	-.048	.008	.141	.055	.691
6	.53	.083	.152	.023	.081	.034	.253
7	.312	.073	.003	-.07	.038	.055	.452
8	.318	.193	-.052	.197	.033	.304	.39
9	.287	-.183	.343	-.145	.266	-.32	-.42
10	.331	-.267	.553	.393	-.039	-.05	-.122
11	.083	.139	-.392	-.29	.179	-.389	.057
12	-.066	-.046	-.106		-.044	-.055	-.025
13	.188	.076	.053	.009	.087	.037	.534
14	.162	.05	.158	.11	-.007	.01	.099
15	.243		.064	.019	.083	.101	.506
16	.084	.025	.04	.049	.117	-.033	.093
17	.261		.055	-.108	.235	-.128	.4
18	.145	.109	.031	.076	.13	-.09	.125
19	.077	.023		.063	.465	.045	.145
20	.358	-.062			.427	.234	-.077
21	-.124	-.413	-1.082	-.74	.639	.211	.397
22	.079	-.756	.078	.048	.558	.355	-.305
23	-.053	-.377	-.791	-.372	.339	-.119	.032
24	-.115	-.265		-.061	.722	.171	-.212
25	.606	.58	-.244	.198	.571	.172	-.677
26	.285	.359	-.067	.339	.541	.227	-.106
27	.234	.284	-.352	-.524	.017	-.091	.24
28	.279	.31	-.328	-.412	-.039	.097	-.036
29	.46	1.596	.288	-.601	-.751	-.956	.919
30	.44	1.11	1.005	.509	.492	.664	1.6
31	1.109	.509	.573	.96	1.338	.884	-.321
32	1.048	.823	1.142	1.29	1.572	1.115	.086
33	.305	.36	.015	-.134	.378	.508	.498
34	.232	.198	-.066	-.162	-.16	-.125	.182
35	.153	.245	.058	-.181	1.075	.079	.05
36	.225	-.29	-.372	-.005	.124	.17	.014
37	.279	.305	-.066	.152	.553	.321	-.161
38	.197	.264	-.023	.172	.468	.31	-.278
39	-.104	.098	-.476	-.569	.045	-.483	.192
40	-.051	.346	-.474	-.68	-.151	-.41	-.186
41	1.042	-.461	-.705	-.224	.233	-.009	-.105
42	-.062	-.497		.188	.334	.107	-.604
43	.367	-.129	-.684	-.213	.323	-.176	.032
44	-.066	-.436		-.2	.906	-.267	-.342
45	.385	-.257	-.619	-.132	.277	-.496	-.304
46	.338	-.234	.205	-.068	.271	-.163	-.291
47	.192	-.331	-.498	-.243	.518	-.149	-.15
48	.337	-.599	-.335	-.132	-.043	-.104	-.401
49	.49	.223	.039	-.037	.175	-.045	.576
50	.551	.133	.153	-.021	.043	.036	.314
51	.5	.188	.045	-.026	.249	.042	.605
52	.489	.143	.137	.009	.122	.101	.274
53	.439	.214	.073	.059	.133	.144	.497
54	.537	.164	.354	.149	.194	.092	.272
55	.276	.275	-.156		1.029	.252	.504
56	.367	.086	.226	-.404	-.551	-.337	.025
57	.538	-.359	-.483	-.15	.778	.947	-1.303
