.47	.121	.042	-.019	.116	-.067	.704
.524	.06	.134	-.037	.078	.146	.325
.56	.056	-.061	-.092	.176	-.127	.679
.609	.128	.124	-.022	.058	.016	.317
.422	.117	-.048	.008	.141	.055	.691
.53	.083	.152	.023	.081	.034	.253
.312	.073	.003	-.07	.038	.055	.452
.318	.193	-.052	.197	.033	.304	.39
.287	-.183	.343	-.145	.266	-.32	-.42
.331	-.267	.553	.393	-.039	-.05	-.122
.083	.139	-.392	-.29	.179	-.389	.057
.188	.076	.053	.009	.087	.037	.534
.162	.05	.158	.11	-.007	.01	.099
.084	.025	.04	.049	.117	-.033	.093
.145	.109	.031	.076	.13	-.09	.125
-.124	-.413	-1.082	-.74	.639	.211	.397
.079	-.756	.078	.048	.558	.355	-.305
-.053	-.377	-.791	-.372	.339	-.119	.032
.606	.58	-.244	.198	.571	.172	-.677
.285	.359	-.067	.339	.541	.227	-.106
.234	.284	-.352	-.524	.017	-.091	.24
.279	.31	-.328	-.412	-.039	.097	-.036
.46	1.596	.288	-.601	-.751	-.956	.919
.44	1.11	1.005	.509	.492	.664	1.6
1.109	.509	.573	.96	1.338	.884	-.321
1.048	.823	1.142	1.29	1.572	1.115	.086
.305	.36	.015	-.134	.378	.508	.498
.232	.198	-.066	-.162	-.16	-.125	.182
.153	.245	.058	-.181	1.075	.079	.05
.225	-.29	-.372	-.005	.124	.17	.014
.279	.305	-.066	.152	.553	.321	-.161
.197	.264	-.023	.172	.468	.31	-.278
-.104	.098	-.476	-.569	.045	-.483	.192
-.051	.346	-.474	-.68	-.151	-.41	-.186
1.042	-.461	-.705	-.224	.233	-.009	-.105
.367	-.129	-.684	-.213	.323	-.176	.032
.385	-.257	-.619	-.132	.277	-.496	-.304
.338	-.234	.205	-.068	.271	-.163	-.291
.192	-.331	-.498	-.243	.518	-.149	-.15
.337	-.599	-.335	-.132	-.043	-.104	-.401
.49	.223	.039	-.037	.175	-.045	.576
.551	.133	.153	-.021	.043	.036	.314
.5	.188	.045	-.026	.249	.042	.605
.489	.143	.137	.009	.122	.101	.274
.439	.214	.073	.059	.133	.144	.497
.537	.164	.354	.149	.194	.092	.272
.367	.086	.226	-.404	-.551	-.337	.025
.538	-.359	-.483	-.15	.778	.947	-1.303
.436	-.604	-1.212	-1.789	-.833	.139	-.338
.466	.534	-.579	.31	.426	.47	.502
.518	3.159	1.626	.467	.525	1.542	2.729
.234	.137	.037	.067	.128	.163	.407
.215	.069	-.022	.01	.171	.003	.09
.264	.053	.02	.025	.194	-.094	.346
.158	.032	-.088	-.036	.115	.006	.139
.368	.079	.133	.049	.222	-.081	.361
.282	.212	.099	-.083	.141	-.003	.172
.211	-.131	-.254	-.289	-.077	-.627	-.048
-.059	.771	1.27	1.582	2.041	1.596	.678
.09	2.576	2.289	2.199	.749	1.016	1.881
-.251	1.641	1.173	1.022	.381	-.087	-.01
.116	-.171	-.437	-.529	-.103	-.833	.229
.082	-.018	-.222	-.1	-.159	-.492	.239
.209	-.611	-.063	-.055	-.196	.185	-.389
.201	-.16	-.241	-.421	.148	-.349	-.136
